Training_Load,Sleep_Hours,Heart_Rate,Muscle_Soreness,Stress_Level,Recovery
39.9,6,152,3,4,Recovered
46.7,8.3,156,3,1,Recovered
94.1,7.6,166,3,2,Recovered
35.2,7,169,3,3,Recovered
72.1,5.2,169,3,4,Recovered
53.4,5.4,128,3,3,Recovered
69.4,5,142,3,3,Recovered
46.5,8.1,136,4,3,Recovered
45,7.1,169,3,2,Recovered
69,7.3,169,4,2,Recovered
41.9,4.8,155,2,3,Recovered
37.7,8.7,131,4,2,Recovered
95.6,8,145,3,2,Recovered
87.7,5.6,141,1,3,Recovered
26,5.3,148,4,4,Overtrained
79.1,5.3,125,3,3,Recovered
67,5.8,141,3,4,Recovered
48.9,6.6,124,4,4,Overtrained
47.8,6.4,128,2,3,Recovered
63.7,5.9,169,3,4,Recovered
52.2,6.9,136,3,2,Recovered
25.4,5.2,156,3,3,Recovered
95.8,5.9,130,3,3,Recovered
43.3,6,145,4,4,Overtrained
49.8,6.4,140,3,2,Recovered
42.5,7.8,152,4,2,Recovered
58.6,5.6,165,2,3,Recovered
71,6.9,155,2,2,Recovered
100,7.2,169,2,2,Recovered
61.1,5,127,1,3,Recovered
48.3,7.1,141,4,2,Recovered
52.6,5.4,127,2,4,Recovered
52.2,4.9,158,2,4,Recovered
35.4,8.4,166,3,2,Recovered
76,8.5,147,3,2,Recovered
70.6,7.8,156,3,1,Recovered
67.9,5.9,147,3,2,Recovered
64.6,5.1,125,3,4,Recovered
83.1,7.3,162,3,2,Recovered
47.7,6.6,154,2,2,Recovered
34.8,5.2,148,2,4,Recovered
82.1,6.7,155,3,2,Recovered
59.6,4.6,136,4,4,Overtrained
79.4,8.3,168,3,2,Recovered
41.3,5.7,162,4,3,Recovered
19,7.4,146,3,4,Recovered
55,5.7,148,4,3,Recovered
35.4,6.7,125,3,3,Recovered
62.8,7,145,3,2,Recovered
48.6,5.3,146,3,4,Recovered
43.2,8.6,169,2,2,Recovered
65.3,7.7,129,3,2,Recovered
50.5,8.5,131,3,2,Recovered
99.1,8.4,120,2,1,Recovered
85.2,7,169,3,3,Recovered
53.5,8.4,162,4,2,Recovered
49.1,5.2,146,2,3,Recovered
39,5.6,144,3,3,Recovered
31.7,4.8,161,4,4,Overtrained
62,5.9,169,2,3,Recovered
32.6,6.3,156,3,2,Recovered
56.6,5.8,156,3,3,Recovered
54.3,8.1,153,3,2,Recovered
26.2,6.1,134,3,4,Recovered
73.2,5.7,137,4,3,Recovered
52.2,6.8,128,3,3,Recovered
50.4,5.1,125,3,3,Recovered
38.1,8,151,2,2,Recovered
67.8,5,165,2,4,Recovered
66.7,8.6,132,3,3,Recovered
67.5,7.8,159,3,2,Recovered
41.7,5.5,146,3,3,Recovered
73.6,4.7,159,2,4,Recovered
57.2,7.9,150,3,3,Recovered
59,7.4,131,4,2,Recovered
60.8,7.6,137,2,2,Recovered
32.7,7.6,120,3,3,Recovered
64.2,5.1,169,3,3,Recovered
54.7,6,169,2,3,Recovered
49.4,5.3,141,3,4,Recovered
88.8,8.1,142,4,3,Recovered
45.7,7.2,146,3,2,Recovered
96.8,6.1,169,2,3,Recovered
70,4.9,144,2,4,Recovered
47.1,5.8,158,4,3,Recovered
36.1,6,142,2,3,Recovered
55.8,7.6,127,3,1,Recovered
61.5,7.3,136,3,3,Recovered
69.4,8,148,3,2,Recovered
59.7,6.5,155,3,4,Recovered
88.2,5.1,169,2,3,Recovered
94.9,7.5,154,2,2,Recovered
61.4,7.7,138,2,2,Recovered
61.2,6.8,152,4,3,Recovered
75.7,7.6,169,3,3,Recovered
97.6,6.6,144,5,2,Recovered
48.7,6.8,144,3,3,Recovered
73.4,6.3,123,3,3,Recovered
43,4.8,132,3,3,Recovered
41.1,4.9,169,5,3,Recovered
61.4,4.6,136,5,5,Overtrained
78.1,7.3,142,3,1,Recovered
69.4,5.9,126,3,3,Recovered
57.8,6.7,143,3,3,Recovered
51.5,8.2,129,3,2,Recovered
52.5,5.6,169,3,3,Recovered
48.5,6.2,159,3,3,Recovered
59.8,7.5,152,4,2,Recovered
43.3,5.5,162,3,4,Recovered
54,4.8,168,4,5,Overtrained
80.1,5.9,137,3,3,Recovered
37.9,5.3,148,3,3,Recovered
69.3,8.4,144,2,3,Recovered
55.4,7.9,136,3,2,Recovered
49.4,7.1,165,3,2,Recovered
60.2,8,164,4,3,Recovered
68.3,7.8,136,2,3,Recovered
83.7,5.4,154,2,3,Recovered
59.7,8.3,149,3,2,Recovered
23.5,6.9,120,3,3,Recovered
43.7,7.8,136,4,2,Recovered
39,8.2,135,4,2,Recovered
37.6,6,167,2,3,Recovered
52.8,5,133,4,5,Overtrained
54.7,5.7,134,3,3,Recovered
55.7,6.2,121,3,3,Recovered
73.3,8,127,3,1,Recovered
34.3,8.1,151,2,2,Recovered
42.2,4.5,169,4,5,Overtrained
41.2,6.7,169,3,3,Recovered
81.3,6.3,169,5,3,Recovered
85.8,5.6,137,3,3,Recovered
85,5.2,156,3,3,Recovered
50.1,6,159,2,4,Recovered
100,8.5,134,3,2,Recovered
81,5.9,141,2,2,Recovered
48.9,6.6,149,4,4,Overtrained
70.9,7.4,158,3,3,Recovered
69.8,6.2,149,3,3,Recovered
69.7,8.5,140,2,1,Recovered
69.5,8.5,134,3,1,Recovered
89.5,5.6,133,3,3,Recovered
43.2,6.6,127,3,3,Recovered
57.8,5.9,141,1,4,Recovered
100,5.7,127,3,4,Recovered
53.2,4.8,169,3,3,Recovered
52.9,7,151,4,2,Recovered
68,6.8,124,2,3,Recovered
58.3,4.9,147,2,3,Recovered
55.5,5.7,134,4,4,Overtrained
34.9,8.2,164,3,2,Recovered
42.9,5.6,165,3,4,Recovered
65.4,5.3,150,3,4,Recovered
32.6,6.6,130,4,3,Recovered
46.3,8.6,151,3,1,Recovered
74,5.8,132,2,3,Recovered
80,7.5,141,1,2,Recovered
81.9,7.5,120,3,3,Recovered
66,5.5,129,3,3,Recovered
64.7,7.7,121,2,2,Recovered
73.9,6.1,144,4,3,Recovered
44.5,7.2,168,2,1,Recovered
56,7.2,155,4,2,Recovered
63.2,6.9,129,3,2,Recovered
54.9,5,120,4,3,Recovered
64.4,8,154,2,1,Recovered
61.4,6,168,2,2,Recovered
26.4,5.5,169,2,2,Recovered
50.7,4.8,160,4,3,Recovered
55.4,7,163,4,4,Overtrained
63.6,7.3,156,3,2,Recovered
100,4.8,134,3,4,Recovered
43.9,6.8,159,1,2,Recovered
75.5,5.7,140,2,3,Recovered
71.7,7.2,130,3,3,Recovered
68.9,5.5,158,2,2,Recovered
82.3,7.4,169,4,3,Recovered
97.6,6.2,142,2,4,Recovered
37,8.4,139,2,1,Recovered
74.3,5.3,162,3,3,Recovered
81.1,6.1,141,2,3,Recovered
50.6,5.2,139,3,3,Recovered
29.5,8.4,147,2,2,Recovered
29.9,8,161,3,2,Recovered
42.8,5.7,140,3,4,Recovered
77.5,7.2,127,3,3,Recovered
46.6,8,133,2,2,Recovered
22.8,6.9,147,2,3,Recovered
35.8,6.9,152,2,3,Recovered
47.3,5.6,138,4,3,Recovered
72.9,5.1,169,3,3,Recovered
95.9,8.3,120,2,2,Recovered
99,8.1,138,3,3,Recovered
63.9,7.1,127,3,3,Recovered
57.8,6,141,3,2,Recovered
69.2,6,158,2,3,Recovered
71.4,7.7,169,2,2,Recovered
93.9,8.3,129,3,2,Recovered
50.8,8.2,137,1,3,Recovered
100,7.8,143,2,1,Recovered
62,7.2,162,4,3,Recovered
80.5,4.9,145,4,4,Overtrained
61.9,5.4,162,2,4,Recovered
44.3,8.2,126,3,2,Recovered
86.9,7.2,138,3,2,Recovered
51.9,4.7,138,3,4,Recovered
69.3,5.1,120,3,3,Recovered
55.6,7.4,153,3,2,Recovered
78.2,4.5,137,4,4,Overtrained
64.8,5.3,135,2,2,Recovered
77.3,6.9,169,2,3,Recovered
56.7,7.3,160,4,3,Recovered
100,7.2,125,3,2,Recovered
44.7,5.6,156,2,4,Recovered
41.7,7.5,152,3,2,Recovered
79.3,5.6,132,2,3,Recovered
56.6,5.8,153,4,5,Overtrained
40.2,7.8,169,3,1,Recovered
72.8,7.3,140,3,2,Recovered
43.5,8.2,149,4,1,Recovered
50.8,7.2,165,3,3,Recovered
100,7,147,2,2,Recovered
87.7,5,159,3,3,Recovered
47.6,6.2,129,4,2,Recovered
55.6,5.6,129,3,3,Recovered
77.1,5.5,169,2,4,Recovered
61.2,8.6,147,3,2,Recovered
70.1,6.4,160,2,3,Recovered
52.6,8.2,162,4,1,Recovered
53.2,7.2,152,3,3,Recovered
61.8,7.9,120,3,2,Recovered
64.3,6.7,163,4,3,Recovered
37.6,6.9,161,3,3,Recovered
33,6.7,146,3,3,Recovered
61.3,5.6,151,2,3,Recovered
41.2,7.5,120,3,3,Recovered
59.8,5.7,146,3,4,Recovered
70.6,4.8,167,3,3,Recovered
67.7,7.3,137,2,3,Recovered
53.3,5.5,133,3,3,Recovered
54.9,8.6,166,1,2,Recovered
39.9,8.6,132,2,1,Recovered
38.5,8.4,145,4,1,Recovered
55.3,6.2,169,2,3,Recovered
58.4,4.7,159,4,4,Overtrained
30.5,8.2,141,4,2,Recovered
39.4,6.3,138,3,3,Recovered
78.6,8.5,169,4,3,Recovered
25.6,8.6,161,3,2,Recovered
58.6,8.2,158,2,1,Recovered
25.5,5.9,127,3,3,Recovered
34.2,6.3,135,2,2,Recovered
70.1,7.9,156,4,2,Recovered
66.3,5.9,127,4,3,Recovered
71.1,5.3,129,3,3,Recovered
62,7,169,3,1,Recovered
51.1,8.5,167,2,1,Recovered
65.7,7.4,163,3,2,Recovered
18.1,7,144,3,1,Recovered
40.9,5,130,3,5,Recovered
58.3,7,159,3,3,Recovered
37.5,8.6,152,3,2,Recovered
80.9,5.1,143,3,4,Recovered
57.8,6.7,169,4,2,Recovered
34,8.3,131,3,2,Recovered
28.4,7.7,120,3,3,Recovered
45.4,7.5,152,2,2,Recovered
63.8,7.5,126,2,3,Recovered
65.8,6.1,139,3,3,Recovered
71.9,6,167,2,2,Recovered
51.3,8,147,1,1,Recovered
52.5,7.8,165,3,2,Recovered
53.2,8.3,169,2,1,Recovered
64.8,8.3,146,3,2,Recovered
57.2,6.6,149,3,3,Recovered
65.1,6.6,126,3,3,Recovered
73.5,8,159,2,2,Recovered
43,7.4,156,2,1,Recovered
66.5,7.5,125,3,2,Recovered
42.5,7.7,154,4,2,Recovered
56,8.2,123,4,3,Recovered
61.7,6.2,167,3,1,Recovered
41.2,6.1,134,4,4,Overtrained
65.8,5.2,158,2,4,Recovered
50.8,7.1,128,2,2,Recovered
46.5,4.7,137,2,2,Recovered
50.6,6.7,162,1,2,Recovered
18.3,6.9,161,2,2,Recovered
76.1,5.8,139,2,2,Recovered
49.7,7.2,162,2,2,Recovered
82.7,4.6,160,3,5,Recovered
65.2,4.8,166,3,4,Recovered
66.5,7.9,158,3,2,Recovered
73.4,6.2,163,2,2,Recovered
31.6,5.2,127,4,3,Recovered
53.3,6.7,147,3,3,Recovered
41.6,7.7,146,3,3,Recovered
78.2,5.6,141,2,3,Recovered
61.2,7.2,132,3,3,Recovered
68.3,5,154,4,4,Overtrained
64.9,5,167,1,3,Recovered
41.2,6.8,126,2,2,Recovered
40.7,6.9,148,3,2,Recovered
91.4,7,140,4,3,Recovered
71.7,7.4,146,3,3,Recovered
69.7,8.5,151,4,2,Recovered
50.5,6.8,165,3,2,Recovered
90.4,6,139,3,3,Recovered
63.5,7.9,127,3,2,Recovered
55.9,5.7,162,3,3,Recovered
66.9,6.5,157,3,3,Recovered
58,4.9,128,4,4,Overtrained
50,4.8,167,2,4,Recovered
77.1,8.4,158,3,2,Recovered
28,8.1,158,3,2,Recovered
21.5,7.5,165,3,2,Recovered
42.8,6.4,124,1,3,Recovered
60,5.3,152,4,3,Recovered
23.3,5.1,124,3,4,Recovered
54.6,5.6,159,3,4,Recovered
69.7,7,123,3,2,Recovered
41.6,7.6,140,3,2,Recovered
47.9,7.3,169,3,3,Recovered
73.7,5.8,137,3,2,Recovered
24.3,8.4,169,3,2,Recovered
54.3,7.7,140,3,1,Recovered
42.8,6.8,167,3,2,Recovered
44.3,7.2,152,2,3,Recovered
25.4,6.2,136,4,3,Recovered
49.2,5.7,154,3,2,Recovered
67.6,5.9,164,4,3,Recovered
29.3,7.8,142,2,3,Recovered
71.9,4.7,121,4,3,Recovered
42,5.1,159,4,3,Recovered
79.4,4.8,120,3,4,Recovered
52.2,4.9,143,3,4,Recovered
73.1,8,128,2,2,Recovered
38.8,7.5,140,3,1,Recovered
99.6,6.6,156,3,4,Recovered
89.2,5,136,2,4,Recovered
53.8,6.7,140,2,3,Recovered
46.4,6.5,120,3,2,Recovered
45.8,5.4,153,4,3,Recovered
29.4,6.5,151,3,2,Recovered
49.4,6.2,130,3,3,Recovered
69.5,7.3,125,2,3,Recovered
60.9,7.1,160,3,3,Recovered
63.3,5,165,3,3,Recovered
100,6.1,137,3,4,Recovered
100,7.2,126,3,2,Recovered
43.1,6.6,156,3,3,Recovered
55.7,7.9,126,4,3,Recovered
64,7.3,142,3,2,Recovered
56.4,5.3,150,4,3,Recovered
62.1,5,169,1,3,Recovered
76.7,7.4,155,3,1,Recovered
39.7,4.7,120,3,4,Recovered
44.3,6.9,134,2,4,Recovered
48.7,8.4,153,4,1,Recovered
38.3,7,125,3,2,Recovered
62.5,6.3,143,2,3,Recovered
41.2,7.4,124,3,2,Recovered
52.7,6.5,126,3,3,Recovered
71.8,6.8,153,4,2,Recovered
35.2,8.3,154,4,2,Recovered
35.8,6.1,121,4,3,Recovered
34.1,8.5,146,3,1,Recovered
62.6,8.4,134,1,2,Recovered
46.3,5.3,154,3,4,Recovered
57.8,5,129,2,3,Recovered
39.4,5.1,140,3,3,Recovered
57.9,4.7,169,3,4,Recovered
63.4,5.1,162,3,3,Recovered
40.5,7.3,167,4,3,Recovered
78.7,5,141,2,3,Recovered
65,6,166,3,4,Recovered
40.4,8,152,2,2,Recovered
26.1,4.9,169,3,3,Recovered
24.8,7.9,169,3,2,Recovered
78.7,5.8,136,3,3,Recovered
73.5,5.1,134,2,3,Recovered
29.5,7.3,131,4,2,Recovered
56.6,7,166,4,3,Recovered
53.2,8.3,166,2,1,Recovered
76.3,7.5,164,3,3,Recovered
55.7,7.8,130,4,3,Recovered
49.4,5.9,135,1,4,Recovered
26.8,5.4,158,4,3,Recovered
